trial,treatment,date,species,cycle,sin_cycle,cos_cycle,seeds_maze,seeds_control,trial_length,f_control_with_op,f_maze_with_op,second_tray,antipredator,competition,dig,f_control,f_maze,open,shelter,first.vs.second.time,first.vs.second.seeds,combined.seeds
14,control,12/06/2025,gerbillus andersoni,6,-1,-1.84E-16,5.51,4.93,60,16.43733333,21.41243333,1.91,6.86,0,0,16.44,21.41,6.56,0,4.97,0.58,10.44
15,control,12/06/2025,gerbillus andersoni,6,-1,-1.84E-16,5,4.78,60,14.99896667,17.95253333,5.39,1.52,0,0,15,17.95,3.83,0.03,2.95,0.22,9.78
16,control,03/07/2025,gerbillus andersoni,3,0.707106781,-0.707106781,2.96,3.91,60,19.5629,17.01876667,1.92,1.61,0,0,19.56,17.02,5.86,0.61,-2.54,-0.95,6.87
17,control,03/07/2025,gerbillus andersoni,3,0.707106781,-0.707106781,3.37,2.52,60,9.492083333,12.43041667,2.67,6.38,0,0,9.49,12.43,2.76,0.04,2.94,0.85,5.89
18,control,20/08/2025,gerbillus andersoni,8,-2.45E-16,1,7.43,0,60,0,36.38783333,60,0.86,0,0,0,36.39,7.08,1.85,36.39,7.43,7.43
19,control,28/08/2025,gerbillus andersoni,2,1,6.12E-17,6.57,0,60,0,37.53391667,60,2.51,0,0.19,0,37.53,5.3,0,37.53,6.57,6.57
20,control,04/09/2025,gerbillus andersoni,4,1.22E-16,-1,7.17,0,60,0,36.54403333,60,3.5,0,0,0,36.54,4.56,0.06,36.54,7.17,7.17
21,control,18/09/2025,gerbillus floweri,8,-2.45E-16,1,5.74,4.43,60,10.72913333,8.592383333,6.43,0.52,0,0,10.73,8.59,8.26,0,-2.14,1.31,10.17
22,maze,28/08/2023,gerbillus andersoni,4,1.22E-16,-1,0.3,1.94,60,5.217583333,2.727083333,7.75615,4.709966667,0,0,5.217583333,2.727083333,25.52803333,12.3237,-2.4905,-1.64,2.24
2,maze,30/08/2023,gerbillus andersoni,5,-0.707106781,-0.707106781,1.44,0.27,114,0,6.550433333,60,4.700016667,0,0,0,6.550433333,15.03958333,16.46428333,6.550433333,1.17,1.71
3,maze,31/08/2023,gerbillus floweri,5,-0.707106781,-0.707106781,0.42,4.5,92,13.23053333,5.928766667,56.08783333,0.682616667,0,0,13.23053333,5.928766667,7.66265,0,-7.301766663,-4.08,4.92
4,maze,10/09/2023,gerbillus floweri,8,-2.45E-16,1,1.18,7.79,105,52.19583333,2.574266667,2.58445,1.354533333,0,0,52.19583333,2.574266667,9.665033333,8.777716666,-49.62156666,-6.61,8.97
5,maze,12/09/2023,gerbillus floweri,8,-2.45E-16,1,2.69,8.03,105,35.25378333,4.682066667,20.70795,2.666066667,0,0,35.25378333,4.682066667,12.98831667,9.032666667,-30.57171666,-5.34,10.72
6,maze,12/09/2023,gerbillus andersoni,8,-2.45E-16,1,1.94,7.62,103,19.5269,3.50875,31.41618333,1.134816667,0,0,19.5269,3.50875,12.36135,15.59608333,-16.01815,-5.68,9.56
7,maze,13/09/2023,gerbillus andersoni,8,-2.45E-16,1,0.84,7.07,96,31.18101667,3.43095,10.31018333,0.407166667,0.675016667,0.968866667,31.18101667,3.43095,17.48696667,5.697483334,-27.75006667,-6.23,7.91
8,maze,14/09/2023,gerbillus andersoni,1,0.707106781,0.707106781,2.07,8.46,117,46.3566,6.014866667,2.137816667,1.72095,0,22.50958333,46.3566,6.014866667,8.085233333,4.856183333,-40.34173333,-6.39,10.53
9,maze,06/05/2024,gerbillus floweri,8,-2.45E-16,1,1.61,8.46,71,29.95095,3.054283333,1.4741,1.536483333,0.0061,0.5272,29.95095,3.054283333,12.0511,10.19276667,-26.89666667,-6.85,10.07
10,maze,07/05/2024,gerbillus andersoni,1,0.707106781,0.707106781,1.77,6.89,69,16.61333333,3.216666667,0.925333333,1.15385,1.941566667,0,13.33333333,3.216666667,8.228683333,11.64183333,-10.11666666,-5.12,8.66
11,maze,08/05/2024,gerbillus floweri,1,0.707106781,0.707106781,1.68,3.68,81,11.41666667,6.75,1.709633333,0.462666667,0.293883333,0,11.41666667,6.75,10.90141666,2.876566666,-4.66666667,-2,5.36
12,maze,09/05/2024,gerbillus andersoni,2,1,6.12E-17,0.31,5.44,82,20.35,1.65,6.407783333,1.141866667,1.586033333,0.94885,20.35,1.65,14.11011667,4.4336,-18.7,-5.13,5.75
13,maze,10/05/2024,gerbillus floweri,2,1,6.12E-17,2.8,0.7,60,0,16.27651667,4.678883333,4.055683333,0.215,0,0,16.27651667,12.78573333,5.921883333,16.27651667,2.1,3.5
14,maze,20/05/2024,gerbillus andersoni,4,1.22E-16,-1,0.57,0,67,0,3.666666667,60,4.615433333,0,14.96985,0,3.666666667,9.60195,27.27305,3.666666667,0.57,0.57
15,maze,21/05/2024,gerbillus andersoni,4,1.22E-16,-1,2.32,0,108,0,17.23333333,60,1.91615,0,0.1061,0,17.23333333,12.31133333,0.264416667,17.23333333,2.32,2.32
16,maze,21/05/2024,gerbillus andersoni,4,1.22E-16,-1,0.56,0,104,0.2,3.883333333,6.963333333,7.69835,0,17.44171667,0.2,3.883333333,11.57825,2.869416667,3.683333333,0.56,0.56
17,maze,22/05/2024,gerbillus floweri,4,1.22E-16,-1,1.47,3.78,60,11.28648333,2.272716667,3.50945,1.7904,0.483883333,2.667616667,11.28648333,2.272716667,9.911133333,3.41925,-9.013766663,-2.31,5.25
18,maze,03/09/2024,gerbillus floweri,1,0.707106781,0.707106781,3.05,7.38,60,19.10251667,6.066433333,0.94445,4.364766667,0.89555,0.18665,19.10251667,6.066433333,9.687416667,12.4338,-13.03608334,-4.33,10.43
19,maze,04/09/2024,gerbillus andersoni,2,1,6.12E-17,1.31,0.53,60,0.232783333,2.98985,2.047766667,4.380983333,0,6.608083333,0,2.98985,15.48668333,17.02708333,2.98985,0.78,1.84
20,maze,04/09/2024,gerbillus floweri,2,1,6.12E-17,1,2.98,60,4.967616667,1.802116667,4.467216667,1.627583333,0.18445,3.515966667,4.967616667,1.802116667,7.48645,18.65405,-3.1655,-1.98,3.98
21,maze,18/09/2024,gerbillus floweri,5,-0.707106781,-0.707106781,2.04,7.58,60,22.75066667,6.084283333,9.647783333,8.241316667,0.028883333,1.0144,22.75066667,6.084283333,9.458566667,10.1307,-16.66638334,-5.54,9.62
22,maze,03/04/2025,gerbillus andersoni,2,1,6.12E-17,0.59,5.82,60,33.78893333,3.468233333,0.661666667,0.915433333,0.1622,0,33.78893333,3.468233333,11.45708333,6.97345,-30.3207,-5.23,6.41
23,maze,03/04/2025,gerbillus andersoni,2,1,6.12E-17,0.39,4,60,22.43846667,8.9527,10.44221667,0.33105,0.23775,6.718333333,22.43846667,8.9527,4.588616667,11.31388333,-13.48576667,-3.61,4.39
24,maze,10/04/2025,gerbillus floweri,4,1.22E-16,-1,1,6.9,60,23.31133333,3.922166667,30.79313333,0.281066667,0,0,23.31133333,3.922166667,5.073533333,11.39233333,-19.38916666,-5.9,7.9
25,maze,15/04/2025,gerbillus andersoni,6,-1,-1.84E-16,0.48,6.06,60,30.86236667,3.44715,23.52333333,0.476033333,2.324433333,0,22.08681667,3.44715,1.516966667,10.92116667,-18.63966667,-5.58,6.54
26,maze,24/04/2025,gerbillus floweri,8,-2.45E-16,1,0.53,6.16,60,29.02881667,3.038283333,8.312783333,0.9897,2.53325,0,27.15105,2.148833333,6.55145,7.061416666,-25.00221667,-5.63,6.69
27,maze,24/04/2025,gerbillus andersoni,8,-2.45E-16,1,0.35,3.29,60,25.42175,4.982533334,9.707783333,1.575083333,3.45875,0,13.08118333,4.805316667,6.239783334,7.693616667,-8.275866663,-2.94,3.64
28,maze,29/04/2025,gerbillus floweri,2,1,6.12E-17,0.57,4.94,60,20.5738,1.792116667,4.806666667,1.148583333,1.364433333,0,18.0855,1.792116667,11.98801667,12.0704,-16.29338333,-4.37,5.51
29,maze,08/05/2025,gerbillus floweri,4,1.22E-16,-1,2.43,4.51,60,18.63583333,14.02371667,9.77055,2.204166667,1.019433333,0,18.63583333,13.87816667,6.948166667,7.604166667,-4.75766666,-2.08,6.94
30,maze,15/05/2025,gerbillus andersoni,6,-1,-1.84E-16,0.45,6.35,60,18.57908333,6.157066667,7.061116667,1.02265,6.961083333,0.146666667,10.03128333,6.157066667,9.6735,5.763116667,-3.874216663,-5.9,6.8
