trial,date,species,seeds_maze,seeds_control,stage,level.1,level.2,level.3,level.4,cycle,sin_cycle,cos_cycle,explore_score,f_control_with_op,f_maze_with_op,second_tray,trial_length,f_control,f_maze,antipredator,competition,dig,open,shelter,combined.seeds
13,10/05/2024,gerbillus floweri,2.8,0.7,1,27.21,45.44,NA,NA,2,1,6.12E-17,1,0,16.27651667,4.678883333,60,0,16.27651667,4.055683333,0.215,0,12.78573333,5.921883333,3.5
14,20/05/2024,gerbillus andersoni,0.57,0,1,32.78,45.9,NA,NA,4,1.22E-16,-1,5,0,3.666666667,60,67,0,3.666666667,4.615433333,0,14.96985,9.60195,27.27305,0.57
15,21/05/2024,gerbillus andersoni,2.32,0,0,33.8,NA,NA,NA,4,1.22E-16,-1,5,0,17.23333333,60,108,0,17.23333333,1.91615,0,0.1061,12.31133333,0.264416667,2.32
16,21/05/2024,gerbillus andersoni,0.56,0,0,NA,NA,NA,NA,4,1.22E-16,-1,5,0.2,3.883333333,6.963333333,104,0.2,3.883333333,7.69835,0,17.44171667,11.57825,2.869416667,0.56
17,22/05/2024,gerbillus floweri,1.47,3.78,1,5.54,12.09,NA,NA,4,1.22E-16,-1,1,11.28648333,2.272716667,3.50945,60,11.28648333,2.272716667,1.7904,0.483883333,2.667616667,9.911133333,3.41925,5.25
18,03/09/2024,gerbillus floweri,3.05,7.38,3,4.59,8.32,34.14,39.38,1,0.707106781,0.707106781,1,19.10251667,6.066433333,0.94445,60,19.10251667,6.066433333,4.364766667,0.89555,0.18665,9.687416667,12.4338,10.43
19,04/09/2024,gerbillus andersoni,1.31,0.53,3,10.37,16.22,35.27,NA,2,1,6.12E-17,1,0.232783333,2.98985,2.047766667,60,0,2.98985,4.380983333,0,6.608083333,15.48668333,17.02708333,1.84
20,04/09/2024,gerbillus floweri,1,2.98,2,1.83,8.52,46.28,NA,2,1,6.12E-17,2,4.967616667,1.802116667,4.467216667,60,4.967616667,1.802116667,1.627583333,0.18445,3.515966667,7.48645,18.65405,3.98
21,18/09/2024,gerbillus floweri,2.04,7.58,2,4.07,8.24,38.75,NA,5,-0.707106781,-0.707106781,3,22.75066667,6.084283333,9.647783333,60,22.75066667,6.084283333,8.241316667,0.028883333,1.0144,9.458566667,10.1307,9.62
22,03/04/2025,gerbillus andersoni,0.59,5.82,1,5.21,9.14,NA,NA,2,1,6.12E-17,1,33.78893333,3.468233333,0.661666667,60,33.78893333,3.468233333,0.915433333,0.1622,0,11.45708333,6.97345,6.41
23,03/04/2025,gerbillus andersoni,0.39,4,2,9.02,27.02,29.1,NA,2,1,6.12E-17,2,22.43846667,8.9527,10.44221667,60,22.43846667,8.9527,0.33105,0.23775,6.718333333,4.588616667,11.31388333,4.39
24,10/04/2025,gerbillus floweri,1,6.9,2,5.48,7.72,12.36,NA,4,1.22E-16,-1,5,23.31133333,3.922166667,30.79313333,60,23.31133333,3.922166667,0.281066667,0,0,5.073533333,11.39233333,7.9
25,15/04/2025,gerbillus andersoni,0.48,6.06,3,1.94,10.58,19.1,21.1,6,-1,-1.84E-16,5,30.86236667,3.44715,23.52333333,60,22.08681667,3.44715,0.476033333,2.324433333,0,1.516966667,10.92116667,6.54
26,24/04/2025,gerbillus floweri,0.53,6.16,2,2.14,5.51,22.77,NA,8,-2.45E-16,1,3,29.02881667,3.038283333,8.312783333,60,27.15105,2.148833333,0.9897,2.53325,0,6.55145,7.061416666,6.69
27,24/04/2025,gerbillus andersoni,0.35,3.29,3,0.93,8.48,39.58,50.54,8,-2.45E-16,1,3,25.42175,4.982533334,9.707783333,60,13.08118333,4.805316667,1.575083333,3.45875,0,6.239783334,7.693616667,3.64
28,29/04/2025,gerbillus floweri,0.57,4.94,2,3.98,8.92,13.22,NA,2,1,6.12E-17,2,20.5738,1.792116667,4.806666667,60,18.0855,1.792116667,1.148583333,1.364433333,0,11.98801667,12.0704,5.51
29,08/05/2025,gerbillus floweri,2.43,4.51,2,16.26,33.69,44.1,NA,4,1.22E-16,-1,1,18.63583333,14.02371667,9.77055,60,18.63583333,13.87816667,2.204166667,1.019433333,0,6.948166667,7.604166667,6.94
30,15/05/2025,gerbillus andersoni,0.45,6.35,3,11.5,21.74,25.45,39.58,6,-1,-1.84E-16,1,18.57908333,6.157066667,7.061116667,60,10.03128333,6.157066667,1.02265,6.961083333,0.146666667,9.6735,5.763116667,6.8
